case	identifier	record_type	source_length	path_length	edit_distance	substituted_bases	first_source_position_1based	first_path_position_1based	first_segment	first_orientation	first_segment_position_1based
hprc_clipped	GRCh38.chr1	P	248956422	248956422	2	2	248752514	248752514	2550772	+	1
hprc_clipped	GRCh38.chr10	P	133797422	133797422	36	36	39239443	39239443	48512711	+	1
hprc_clipped	GRCh38.chr12	P	133275309	133275309	3	3	122093260	122093260	55082249	+	1
hprc_clipped	GRCh38.chr13	P	114364328	114364328	3	3	100972571	100972571	55973894	+	1
hprc_clipped	GRCh38.chr16	P	90338345	90338345	1	1	88366825	88366825	65734409	+	1
hprc_clipped	GRCh38.chr17	P	83257441	83257441	12	12	489374	489374	67051804	+	1
hprc_clipped	GRCh38.chr2	P	242193529	242193529	9	9	20953875	20953875	8329956	+	1
hprc_clipped	GRCh38.chr21	P	46709983	46709983	3	3	41829696	41829696	75066872	+	1
hprc_clipped	GRCh38.chr22	P	50818468	50818468	5	5	16309656	16309656	76249687	+	1
hprc_clipped	GRCh38.chr3	P	198295559	198295559	7	7	16814155	16814155	15198563	+	1
hprc_clipped	GRCh38.chr6	P	170805979	170805979	1	1	61366327	61366327	29921570	+	1
hprc_clipped	GRCh38.chr7	P	159345973	159345973	4	4	154575459	154575459	36273753	+	1
hprc_clipped	GRCh38.chr9	P	138394717	138394717	3	3	89883952	89883952	41315951	+	1
hprc_clipped	GRCh38.chrX	P	156040895	156040895	5	5	222582	222582	77423819	+	222582
hprc_full	GRCh38#0#chr1	W	248956422	248956422	2	2	248752514	248752514	4504918	+	1
hprc_full	GRCh38#0#chr10	W	133797422	133797422	36	36	39239443	39239443	6893708	+	1
hprc_full	GRCh38#0#chr12	W	133275309	133275309	3	3	122093260	122093260	16449764	+	1
hprc_full	GRCh38#0#chr13	W	114364328	114364328	3	3	100972571	100972571	18546974	+	1
hprc_full	GRCh38#0#chr16	W	90338345	90338345	1	1	88366825	88366825	26953799	+	1
hprc_full	GRCh38#0#chr17	W	83257441	83257441	12	12	489374	489374	27611338	+	1
hprc_full	GRCh38#0#chr2	W	242193529	242193529	9	9	20953875	20953875	34928784	+	1
hprc_full	GRCh38#0#chr21	W	46709983	46709983	3	3	41829696	41829696	43588218	+	1
hprc_full	GRCh38#0#chr22	W	50818468	50818468	5	5	16309656	16309656	44191156	+	927
hprc_full	GRCh38#0#chr3	W	198295559	198295559	7	7	16814155	16814155	45937071	+	1
hprc_full	GRCh38#0#chr6	W	170805979	170805979	1	1	61366327	61366327	62362537	+	1
hprc_full	GRCh38#0#chr7	W	159345973	159345973	4	4	154575459	154575459	68194200	+	1
hprc_full	GRCh38#0#chr9	W	138394717	138394717	3	3	89883952	89883952	77496214	+	1
hprc_full	GRCh38#0#chrX	W	156040895	156040895	5	5	222582	222582	77904932	+	1
